Longitude	Latitude	Name	Cruise	Year	Month	Day	Depth_m	Temperature_degreesC	Salinity_psu	Oxygen_mll	Hydrogen_Sulphide_umoll	Ammonium_Nitrogen_umoll
19.8788	57.9982	Opensea Eastern Gotland Basin	34A3	2016	1	8	0	6.04	7.12	8		0.2
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	2.476822	6.0363	7.1211	8.06		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	2.9721825	6.0363	7.1212	8.06		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	3.4675422	6.0376	7.1211	8.05		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	3.9629006	6.0389	7.1212	8.06		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	4.4582577	6.0386	7.1212	8.06		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	4.9536138	6.0392	7.1212	8.05		0.2
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	5.4489684	6.0387	7.1212	8.05		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	5.944322	6.0399	7.1212	8.05		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	6.4396744	6.0394	7.1212	8.05		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	6.935025	6.039	7.1212	8.05		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	7.4303756	6.0394	7.1213	8.05		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	7.925724	6.04	7.1212	8.05		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	8.421072	6.0394	7.1212	8.05		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	8.916418	6.0409	7.1212	8.05		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	9.411763	6.0409	7.1213	8.05		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	9.907107	6.0404	7.1213	8.05		0.2
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	10.40245	6.0398	7.1213	8.05		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	10.897791	6.0414	7.1212	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	11.393131	6.0378	7.1212	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	11.888471	6.0381	7.1212	8.03		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	12.383809	6.0387	7.1212	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	12.879146	6.0373	7.1212	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	13.374481	6.0386	7.1212	8.05		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	13.869815	6.0377	7.1212	8.05		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	14.365149	6.0384	7.1212	8.05		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	14.86048	6.0381	7.1212	8.05		0.2
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	15.355811	6.0377	7.1212	8.05		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	15.85114	6.0365	7.1212	8.05		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	16.346468	6.0368	7.1212	8.05		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	16.841795	6.0369	7.1212	8.05		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	17.337122	6.0367	7.1212	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	17.832447	6.0366	7.1212	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	18.32777	6.0367	7.1212	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	18.823092	6.0371	7.1212	8.05		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	19.318413	6.038	7.1213	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	19.813732	6.0393	7.1212	8.04		0.2
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	20.309052	6.0384	7.1211	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	20.804369	6.0351	7.1211	8.05		
